ACCOR,4049,825,497,2019
ACCOR,1621,-391,-665,2020
ACCOR,2436,110,-161,2021
ADP,4700,1772,1062,2019
ADP,2137,168,-744,2020
ADP,2793,545,-247,2021
AIR FRANCE -KLM,27189,4128,1141,2019
AIR FRANCE -KLM,11088,-1689,-4548,2020
AIR FRANCE -KLM,14650,593,-2182,2021
AIR LIQUIDE,21920,5931,3794,2019
AIR LIQUIDE,20485,5928,3790,2020
AIR LIQUIDE,21359,6132,4033,2021
AIRBUS,70478,9849,6946,2019
AIRBUS,49912,4513,1706,2020
AIRBUS,51392,5284,2631,2021
ALSTOM,8072,690,570,2019
ALSTOM,8201,838,559,2020
ALSTOM,7735,808,535,2021
AMUNDI,2707,1331,1330,2019
AMUNDI,2595,1312,1254,2020
AMUNDI,2796,1394,1373,2021
ARKEMA,8738,1457,926,2019
ARKEMA,7884,1182,619,2020
ARKEMA,7979,1209,670,2021
ATOS,11588,1554,1190,2019
ATOS,11181,1484,1002,2020
ATOS,11361,1612,1073,2021
AXA,103532,7608,7608,2019
AXA,96723,5779,5779,2020
AXA,98635,8329,8403,2021
BIOMERIEUX,2675,576,389,2019
BIOMERIEUX,3118,807,613,2020
BIOMERIEUX,3252,843,600,2021
BNP PARIBAS,44597,0,13260,2019
BNP PARIBAS,44275,0,14081,2020
BNP PARIBAS,44461,0,14270,2021
BOUYGUES,37929,3548,1677,2019
BOUYGUES,34694,3233,1124,2020
BOUYGUES,36730,3528,1613,2021
BUREAU VERITAS,5100,1057,832,2019
BUREAU VERITAS,4601,819,615,2020
BUREAU VERITAS,4800,969,720,2021
CAPGEMINI,14125,2105,1741,2019
CAPGEMINI,15848,2458,1879,2020
CAPGEMINI,16880,2646,1985,2021
CARREFOUR,72450,4417,2080,2019
CARREFOUR,70719,4465,2173,2020
CARREFOUR,71727,4609,2312,2021
CASINO GUICHARD,34645,2640,1292,2019
CASINO GUICHARD,31912,2605,1224,2020
CASINO GUICHARD,31648,2599,1320,2021
COVIVIO,675,578,735,2019
COVIVIO,610,488,526,2020
COVIVIO,616,512,512,2021
CREDIT AGRICOLE,20339,0,7392,2019
CREDIT AGRICOLE,20764,0,7609,2020
CREDIT AGRICOLE,20972,0,8042,2021
DANONE,25287,4966,3846,2019
DANONE,23620,4469,3317,2020
DANONE,23604,4332,3300,2021
DASSAULT AVIATION,7341,908,765,2019
DASSAULT AVIATION,5489,418,261,2020
DASSAULT AVIATION,6586,588,403,2021
DASSAULT SYSTEMES,4056,1439,1297,2019
DASSAULT SYSTEMES,4465,1529,1350,2020
DASSAULT SYSTEMES,4765,1662,1469,2021
EDENRED,1570,668,489,2019
EDENRED,1465,580,455,2020
EDENRED,1572,638,509,2021
EDF,71317,16708,6760,2019
EDF,69031,16174,3875,2020
EDF,72464,17393,6227,2021
EIFFAGE,18143,2999,2005,2019
EIFFAGE,16659,2408,1263,2020
EIFFAGE,17597,2924,1793,2021
ELIOR GROUP,4923,298,176,2019
ELIOR GROUP,3967,109,-69,2020
ELIOR GROUP,3898,164,-27,2021
ELIS,3282,1103,455,2019
ELIS,2806,947,291,2020
ELIS,2973,1019,335,2021
ENGIE,64100,10400,5726,2019
ENGIE,55751,9082,4492,2020
ENGIE,60459,10160,5388,2021
ESSILORLUXOTTICA,17390,3980,2812,2019
ESSILORLUXOTTICA,14429,2131,1374,2020
ESSILORLUXOTTICA,17115,3929,2696,2021
EUROFINS SCIENT.,4563,931,494,2019
EUROFINS SCIENT.,5439,1413,945,2020
EUROFINS SCIENT.,5756,1412,911,2021
EURONEXT,679,399,356,2019
EURONEXT,884,515,467,2020
EURONEXT,917,529,472,2021
EUTELSAT COMMUNICATIONS,1321,1032,526,2019
EUTELSAT COMMUNICATIONS,1278,982,487,2020
EUTELSAT COMMUNICATIONS,1207,916,397,2021
FAURECIA,17768,2404,1283,2019
FAURECIA,14654,1678,406,2020
FAURECIA,16843,2389,1170,2021
GECINA,674,542,540,2019
GECINA,658,518,518,2020
GECINA,621,501,482,2021
GETLINK SE,1085,560,379,2019
GETLINK SE,816,328,142,2020
GETLINK SE,908,399,199,2021
HERMES INTL,6883,2786,2339,2019
HERMES INTL,6389,2496,1981,2020
HERMES INTL,7658,3069,2573,2021
ICADE,636,586,560,2019
ICADE,678,579,574,2020
ICADE,687,597,552,2021
ILIAD,5332,1654,444,2019
ILIAD,5681,1891,563,2020
ILIAD,6140,2298,918,2021
INVENTIVA,7,-27,-32,2019
INVENTIVA,0,-29,-30,2020
INVENTIVA,4,-47,-47,2021
IPSEN,2576,866,783,2019
IPSEN,2592,950,829,2020
IPSEN,2767,964,825,2021
JCDECAUX SA.,3890,743,423,2019
JCDECAUX SA.,2312,74,-333,2020
JCDECAUX SA.,2644,310,-36,2021
KERING,15884,6024,4778,2019
KERING,13100,4574,3135,2020
KERING,15329,5526,4168,2021
KLEPIERRE,1242,1053,964,2019
KLEPIERRE,1131,797,806,2020
KLEPIERRE,1035,803,788,2021
KORIAN,3612,885,338,2019
KORIAN,3874,861,304,2020
KORIAN,4191,992,397,2021
L'OREAL,29874,7117,5548,2019
L'OREAL,27992,6821,5209,2020
L'OREAL,30292,7486,5769,2021
LAFARGEHOLCIM LTD,25132,5787,3605,2019
LAFARGEHOLCIM LTD,21060,5099,3068,2020
LAFARGEHOLCIM LTD,22380,5618,3510,2021
LAGARDERE S.C.A.,7211,676,378,2019
LAGARDERE S.C.A.,4439,88,-155,2020
LAGARDERE S.C.A.,4799,255,-5,2021
LEGRAND,6622,1544,1326,2019
LEGRAND,6100,1385,1156,2020
LEGRAND,6430,1533,1269,2021
LVMH,53670,14177,11504,2019
LVMH,44651,12431,8305,2020
LVMH,56042,16083,12116,2021
METROPOLE TV,1456,394,276,2019
METROPOLE TV,1274,373,271,2020
METROPOLE TV,1309,339,264,2021
MICHELIN,24135,4693,3009,2019
MICHELIN,20469,3631,1878,2020
MICHELIN,22141,4334,2546,2021
NATIXIS,9219,0,2564,2019
NATIXIS,7306,0,1478,2020
NATIXIS,8040,0,1967,2021
NEXANS,4605,413,249,2019
NEXANS,5713,347,193,2020
NEXANS,6009,431,250,2021
ORANGE,42238,12860,5774,2019
ORANGE,42298,12693,5562,2020
ORANGE,42547,12795,5545,2021
ORPEA,3740,949,504,2019
ORPEA,3922,917,430,2020
ORPEA,4236,1058,533,2021
PERNOD RICARD,9182,2807,2581,2019
PERNOD RICARD,8448,2610,2260,2020
PERNOD RICARD,8497,2582,2238,2021
PUBLICIS GROUPE,9800,2247,1659,2019
PUBLICIS GROUPE,9712,2158,1558,2020
PUBLICIS GROUPE,9860,2227,1608,2021
